group,n,mean,stdev,p50,p75,p80,p85,p90,p95,max,recommended_threshold,recommended_ci_low,recommended_ci_high,target_dropout,dropout_at_recommended,dropout_at_18,dropout_at_20,dropout_at_21,dropout_at_22,dropout_at_23,dropout_at_24,dropout_at_25,dropout_at_26
ALL,400,16.451249999999998,4.7391611533582605,16.0,19.4,20.2,21.6,23.5,25.599999999999998,28.0,21.6,20.3,22.9,0.15,0.155,0.3325,0.2125,0.1775,0.1425,0.1125,0.0975,0.0775,0.0375
persona=burned_out_resident,100,16.089,4.410281056803523,15.600000000000001,19.3,19.7,20.7,21.5,24.5,25.6,20.7,19.5,22.0,0.15,0.16,0.35,0.19,0.14,0.1,0.09,0.08,0.04,0.0
persona=eager_resident,100,15.181,3.5241082559989554,15.0,17.7,17.9,19.2,19.6,21.299999999999997,23.3,19.2,17.8,19.8,0.15,0.16,0.2,0.09,0.08,0.03,0.01,0.0,0.0,0.0
persona=exhausted_attending,100,17.406,5.323247505048022,16.7,20.0,21.7,25.2,26.299999999999997,27.4,28.0,25.2,20.5,26.3,0.15,0.16,0.39,0.27,0.23,0.2,0.18,0.18,0.16,0.12
persona=veteran_attending,100,17.129,5.149374622223557,16.6,21.4,22.8,23.1,25.0,25.5,27.099999999999998,23.1,22.2,25.099999999999998,0.15,0.16,0.39,0.3,0.26,0.24,0.17,0.13,0.11,0.03
policy=poc_0704_naive_a3,100,18.232,3.9648424937190128,17.499999999999996,20.7,21.6,22.9,23.5,26.299999999999997,27.8,22.9,21.099999999999998,25.0,0.15,0.16,0.43,0.3,0.25,0.19,0.13,0.1,0.1,0.06
policy=poc_0704_oracle_a3,100,13.264,4.834284228301021,12.499999999999998,14.299999999999999,14.899999999999999,15.900000000000002,22.099999999999998,25.4,28.0,15.900000000000002,14.5,22.8,0.15,0.16,0.14,0.11,0.11,0.11,0.09,0.08,0.06,0.03
policy=poc_0704_user_state_oracle_a3,100,19.347,3.4941795889736404,18.8,21.2,21.799999999999997,24.0,25.2,25.799999999999997,27.4,24.0,21.4,25.4,0.15,0.16,0.61,0.33,0.27,0.2,0.17,0.16,0.12,0.05
policy=poc_0705_react_control_v3,100,14.962,3.821800099429587,14.100000000000001,16.8,17.4,17.799999999999997,20.0,23.1,27.099999999999998,17.799999999999997,17.099999999999998,20.0,0.15,0.16,0.15,0.11,0.08,0.07,0.06,0.05,0.03,0.01
